100001,Island Tel. Co.
100002,Somerset Tel. Co.
100003,Talk America Inc.
100004,Warwick Valley Tel Co
100005,BroadRiver Communication Corporation
100006,Shenandoah Tel. Co.
100006,Shenandoah Tel. Co.
100007,"CTSI, Inc."
100008,Armstrong Tel.
100009,West Side Tel Co
100010,"Ardmore Tel. Co., Inc."
100011,"Convergent Telesis, LLC - NY"
100012,Sprint
100012,Sprint
100012,Sprint
100012,Sprint
100012,Sprint
100012,Sprint
100012,Sprint
100012,Sprint
100013,"Alma Tel. Co., Inc."
100014,Glenwood Tel. Co.
100015,Brandenburg Tel. Co.
100016,"South Central Telcom, LLC"
100017,Cameron Tel Co
100018,"Bruce Tel. Co., Inc."
100019,"Smithville Tel. Co., Inc."
100020,Concord Tel. Co.
100021,Randolph Tel. Co.
100022,Yadkin Valley Tel. Membership Corp.
100023,SBC Long Distance
100023,SBC Long Distance
100023,SBC Long Distance
100024,Highland Tel. Coop.
100025,North Central Tel Coop
100026,Arcadia Tel. Coop.
100027,GCEC Technologies - TX
100028,"Florida Consolidated Multi-Media Services, Inc. - FL"
100029,"Tallgrass Communications, Inc."
100030,"TSC Communications, Inc. - OH"
100031,Bloomingdale Tel. Co.
100032,Deerfield Farmers Tel. Co.
100033,Midway Tel. Co.
100034,Winn Tel. Co.
100035,RTC Communications Corp.
100036,"Broadstreet Communications, Inc."
100037,Hancock Tel. Co.
100037,Hancock Tel. Co.
100038,"Jaguar Communications, Inc."
100039,"Swayzee Tel. Co., Inc."
100040,Bergen Tel. Co.
100041,"Bayland Tel., Inc."
100042,"Spring Valley Tel. Co., Inc."
100043,Adams Tel. Coop.
100044,"Long Distance of Michigan, Inc. dba LDMI Telecommunications"
100045,Egyptian Tel. Coop. Assn.
100046,Grafton Tel. Co.
100047,Henry County Tel. Co.
100048,Moultrie Independent Tel. Co.
100049,"Alpine PCS, Inc."
100050,Hickorytech
100050,Hickorytech
100050,Hickorytech
100051,Iowa Telecommunications Services dba Iowa Telecom
100052,Farmers Mutual Tel. Co.
100053,Farmers Tel. Co.
100054,"Goldfield Access Network, LC"
100055,Huxley Communications Cooperative
100056,"Forte Communications, Inc. - IL"
100057,Lost Nation-Elwood Tel. Co.
100058,Winnebago Coop Tel Assn
100059,Ace Tel Assn
100060,Sharon Tel. Co.
100061,"Heart of Iowa Communications, Inc."
100062,Walnut Tel. Co.
100063,"IAMO Wireless, Inc."
100064,Wolverton Tel Co
100065,Hills Tel Co Inc
100066,Hutchinson Tel. Co.
100067,Kasson & Mantorville Tel. Co.
100068,Lakedale Tel. Co.
100069,"Swifttel Communications, Inc. - GA"
100070,Interstate Telecomm Coop Inc
100071,Paul Bunyan Rural Tel. Coop.
100072,Mabel Coop Tel Co
100073,Redwood Falls Telephone Company
100074,Runestone Tel. Assn.
100075,"TSS Digital Services, LCC - WA"
100076,"Westelcom Network, Inc. - NY"
100077,"3 Rivers Tel. Coop., Inc."
100078,"Dakota Central Telecom I, Inc."
100079,Dickey Rural Tel. Coop.
100080,"Polar Telecommunications, Inc."
100081,Red River Rural Tel Assn
100082,West River Telecommun Coop
100083,Bek Communications Cooperative
100084,Lavaca Tel Co
100085,"CP-Tel Network Services, Inc. - LA"
100086,"Cbeyond Communications, LLC - Overall"
100087,Kanokla Tel Assn
100088,Verizon
100088,Verizon
100088,Verizon
100088,Verizon
100089,"Apollo Communications, LLC - CO"
100090,"Priorityone Telecommunications, Inc. - OR"
100091,Mo-Kan Dial Inc
100092,Sunflower Tel Co Inc
100093,Chariton Valley Tel. Co.
100093,Chariton Valley Tel. Co.
100094,Fidelity Tel. Co.
100095,Grand River Mutual Tel Co
100096,Green Hills Tel. Corp.
100096,Green Hills Tel. Corp.
100097,Craw-Kan Tel Coop Inc
100098,Choctaw Tel. Co.
100099,Centennial License Company LLC
100099,Centennial License Company LLC
100099,Centennial License Company LLC
100100,Mark Twain Communications
100101,"Daktel Communications, LLC - ND"
100102,United Tel. Co.
100102,United Tel. Co.
100102,United Tel. Co.
100102,United Tel. Co.
100102,United Tel. Co.
100102,United Tel. Co.
100102,United Tel. Co.
100103,"ATX Telecommunications Services, Ltd."
100104,"Bixby Tel. Co., Inc."
100105,"Guadalupe Valley Tel. Coop., Inc."
100106,Chickasaw Tel. Co.
100107,Cimarron Tel. Co.
100108,Salina-Spavinaw Tel. Co.
100109,Shidler Tel. Co.
100110,"Totah Communications, Inc."
100111,"Brazos Tel. Coop., Inc."
100112,"Cumby Tel. Coop., Inc."
100113,"Etex Tel. Coop., Inc."
100114,Ft. Bend Long Distance
100114,Ft. Bend Long Distance
100115,"Qualstar Communications, Inc. - OH"
100116,TXU Communications Telecom Services Company
100117,"Nortex Telcom, LLC"
100118,"Poka Lambro PCS, Inc."
100119,"Santa Rosa Telephone Cooperative, Inc."
100120,"1stel, Inc. - TX"
100121,Yucca Communications
100122,Valley Tel Coop Inc
100123,Fort Mojave Telecom Inc
100124,Cambridge Tel. Co.
100125,"Custer Tel. Coop., Inc."
100126,Filer Mutual Tel Co
100127,"Midvale Telephone Exchange, Inc."
100128,"Project Mutual Tel. Coop. Assn., Inc."
100129,Rural Tel Co
100130,"Cedar Valley Communications, Inc. - TX"
100131,Telus Communications Inc.
100131,Telus Communications Inc.
100132,Nemont Tel Coop Inc
100133,Range Tel Coop Inc
