id,name,created_at,updated_at
14,testing,09/17/2009 20:33:35,09/17/2009 20:33:35
15,sex,09/17/2009 20:33:35,09/17/2009 20:33:35
16,info,09/17/2009 20:33:35,09/17/2009 20:33:35
17,symptoms,09/17/2009 20:33:35,09/17/2009 20:33:35
18,transmission,09/17/2009 20:33:35,09/17/2009 20:33:35
19,treatment,09/17/2009 20:33:35,09/17/2009 21:23:01
20,prevent,09/17/2009 20:33:35,09/17/2009 21:23:01
21,usage,09/17/2009 20:33:35,09/17/2009 20:33:35
22,effectiveness,09/17/2009 20:33:35,09/17/2009 20:33:35
23,types,09/17/2009 20:33:35,09/17/2009 20:33:35
24,cost,09/17/2009 20:33:35,09/17/2009 20:33:35
25,scared,09/17/2009 20:33:35,09/17/2009 20:33:35
26,options,09/17/2009 20:33:35,09/17/2009 20:33:35
27,help,10/01/2009 00:04:22,10/01/2009 00:04:22
28,report,10/01/2009 00:06:20,10/01/2009 00:06:20
31,counseling,10/01/2009 00:08:13,10/01/2009 00:08:13
32,rape exam,10/01/2009 00:11:15,10/01/2009 00:11:15
33,prevent pregnancy,10/01/2009 00:13:30,10/01/2009 00:13:30
34,dating violence,10/01/2009 00:14:56,10/01/2009 00:14:56
35,visiting a clinic,10/01/2009 00:19:30,10/01/2009 00:19:30
37,pregnancy options,10/01/2009 00:29:10,10/01/2009 00:29:10
38,prenatal care,10/01/2009 00:29:56,10/01/2009 00:29:56
39,adoption,10/01/2009 00:30:45,10/01/2009 00:30:45
40,no action,10/07/2009 15:32:35,10/07/2009 15:32:35
41,about us,10/19/2009 16:31:38,10/19/2009 16:31:38
42,Sex Problems,10/19/2009 16:46:30,10/19/2009 16:46:30
43,Body Parts,10/19/2009 16:46:30,10/19/2009 16:46:30
44,Sex Info,10/19/2009 16:46:30,10/19/2009 16:46:30
45,Topics,10/19/2009 16:46:31,10/19/2009 16:46:31
46,Escorts,10/19/2009 16:46:31,10/19/2009 16:46:31
47,Venues,10/19/2009 16:46:31,10/19/2009 16:46:31
48,Condom,10/19/2009 16:46:32,10/19/2009 16:46:32
49,Complications,10/19/2009 16:46:32,10/19/2009 16:46:32
50,HIV POZ 101,10/19/2009 16:46:33,10/19/2009 16:46:33
51,Support & Care,10/19/2009 16:46:33,10/19/2009 16:46:33
52,Medications,10/19/2009 16:46:33,10/19/2009 16:46:33
53,Info and Treatment,10/19/2009 16:46:33,10/19/2009 16:46:33
54,Things to Consider,10/19/2009 16:46:34,10/19/2009 16:46:34
55,Injection Drug Use,10/19/2009 16:46:34,10/19/2009 16:46:34
56,Legal,10/19/2009 16:46:34,10/19/2009 16:46:34
57,Illegal,10/19/2009 16:46:35,10/19/2009 16:46:35
58,STDs & Conditions,10/19/2009 16:46:35,10/19/2009 16:46:35
59,HIV,10/19/2009 16:46:35,10/19/2009 16:46:35
60,HIV Testing,10/19/2009 16:46:35,10/19/2009 16:46:35
61,sexual identity,10/28/2009 20:26:58,10/28/2009 20:26:58
62,gay,10/28/2009 20:28:04,10/28/2009 20:28:04
63,bisexual,10/28/2009 20:31:34,10/28/2009 20:31:34
64,transgender,10/28/2009 20:32:41,10/28/2009 20:32:41
65,coming out,10/28/2009 20:33:44,10/28/2009 20:33:44
66,Am I normal?,10/28/2009 20:34:53,10/28/2009 20:34:53
67,In the closet,10/28/2009 20:36:01,10/28/2009 20:36:01
68,accepting yourself,10/28/2009 20:37:11,10/28/2009 20:37:11
69,What about HIV/AIDS?,10/28/2009 20:38:46,10/28/2009 20:38:46
71,abortion,10/28/2009 20:43:50,10/28/2009 20:43:50
72,"pregnant ",10/28/2009 20:44:38,10/28/2009 20:44:38
73,visiting a clinic,10/28/2009 20:47:36,10/28/2009 20:47:36
74,where to go,10/28/2009 20:49:33,10/28/2009 20:49:33
75,questions to ask clinic,10/28/2009 20:50:21,10/28/2009 20:50:21
76,what to expect,10/28/2009 20:51:39,10/28/2009 20:51:39
77,Physical exam,10/28/2009 20:53:53,10/28/2009 20:53:53
78,Pelvic exam,10/28/2009 20:55:07,10/28/2009 20:55:07
